title,description,department,brand,price,qtd_stock,bar_codes
Batata Palito,"Batata Palito tradicional 9x9mm congelada pacote 2.5kg - McCain",Congelados,McCain,"29.54",2856,65390553403010
Leite Condensado,Leite Condensado Semidesnatado tetra pak 395g - Piracanjuba,ofertas,Piracanjuba,"6.44",966,41113279360300
Pão de Forma,Pão de Forma Integral pacote 400g - Visconti,ofertas,Visconti,"5.35",3468,53916719813363
Sabonete em Barra,Sabonete em Barra Água de Coco e Alecrim unidade 85g - Flor de Ypê,Higiene Pessoal e Perfumaria,Flor de Ypê,"1.39",3729,24854970646829
Anel de Cebola,"Anel de Cebola Empanado pacote 1.05kg - McCain",Congelados,McCain,"20.88",2269,13411120735788
Hambúrguer de Picanha,Hambúrguer de Picanha  120g - Brasa Burguers,Congelados,Brasa Burguers,"2.39",2776,15975849087367
Guardanapo de Papel,"Guardanapo de Papel Folha Simples 22.7cm x 22.8cm pacote 50 folhas - Kitchen",Embalagens e Descartáveis,Kitchen,"1.9",1545,93963540851102
Leite em Pó,Leite em Pó Integral pacote 400g - Italac,Frios e Laticínios,Italac,"19.01",1400,45086332405983
Embalagem para Pizza,Embalagem para Pizza Oitavada 35cm Estampado pacote 25 unidades - São José,Embalagens e Descartáveis,São José,"28.49",1726,49167846960139
Whisky,Whisky Escocês garrafa 1 Litro - White Horse,Bebidas,White Horse,"78.9",1333,94685036920342
